NAME,ITEM_TYPE,KIND,DATE_TAKEN,CONTRIBUTING_ARTISTS,AUTHORS,FILE_EXTENSION,PATH,MEDIA_CREATED
1_2-02 B.J. Thomas - Hooked on a Feeling,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_2-02 B.J. Thomas - Hooked on a Feeling.ogg,
1_2-04 Tommy James & the Shondells - Crimson and Clover,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_2-04 Tommy James & the Shondells - Crimson and Clover.ogg,
1_2-1,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_2-1.ogg,
1_2-2 (3),OGG File,,,,,,,
1_2. Crusader Kings II Viking metal  Viking Gods (2)_5ca268140f1d2,OGG File,,,,,,,
1_2. Crusader Kings II Viking metal  Viking Gods,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_2. Crusader Kings II Viking metal  Viking Gods.ogg,
1_2,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_2.ogg,
1_2015-03-20 115416 pmWestminster_Part_1_5ca268142c9d0,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_2015-03-20 115416 pmWestminster_Part_1_5ca268142c9d0.ogg,
1_2015-04-11 95646 amWestminster_Part_1 copy (2017_12_02 22_49_39 UTC)_5ca268142df30,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_2015-04-11 95646 amWestminster_Part_1 copy (2017_12_02 22_49_39 UTC)_5ca268142df30.ogg,
1_25 Etta James - Something's Got a Hold on Me,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_25 Etta James - Something's Got a Hold on Me.ogg,
1_3 (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_3 (2).ogg,
1_3 (4)_5ca26814d4662,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_3 (4)_5ca26814d4662.ogg,
1_3-1,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_3-1.ogg,
1_3-2,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_3-2.ogg,
1_3. Crusader Kings II Orchestral House Lords  Journey To Absolution (2)_5ca268153f0f2,OGG File,,,,,,,
1_3,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_3.ogg,
1_4 (2) (2017_11_28 14_38_34 UTC)_5ca26815d5155,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_4 (2) (2017_11_28 14_38_34 UTC)_5ca26815d5155.ogg,
1_4 (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_4 (2).ogg,
1_4-1,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_4-1.ogg,
1_4-2 (3),OGG File,,,,,,,
1_4-2,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_4-2.ogg,
1_4. The First Crusade (2)_5ca26815e718a,OGG File,,,,,,,
1_4,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_4.ogg,
1_5 (2) (2017_11_28 14_38_34 UTC)_5ca26816318ad,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_5 (2) (2017_11_28 14_38_34 UTC)_5ca26816318ad.ogg,
1_5-1,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_5-1.ogg,
1_5-2,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_5-2.ogg,
1_5,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_5.ogg,
1_6 (2) (2017_11_28 14_38_34 UTC)_5ca26816828ec,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_6 (2) (2017_11_28 14_38_34 UTC)_5ca26816828ec.ogg,
1_6 (2),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_6 (2).ogg,
1_6 (3),OGG File,,,,,,,
1_6-1,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_6-1.ogg,
1_6-2,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_6-2.ogg,
1_6,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_6.ogg,
1_7 (5) (2017_12_02 23_50_54 UTC)_5ca2681699955,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_7 (5) (2017_12_02 23_50_54 UTC)_5ca2681699955.ogg,
1_7,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_7.ogg,
